date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:01:54	1114/1114	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2017%20Jul%202021%2018:14:44%20GMT	https://www.wowmomosfranchise.com/assets/front/js/custom.js	C:/My%20Web%20Sites/fakier/www.wowmomosfranchise.com/assets/front/js/custom.js	(from https://www.wowmomosfranchise.com/)
23:01:54	27853/27853	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2017%20Jul%202021%2018:15:16%20GMT	https://www.wowmomosfranchise.com/assets/validation/jquery.validate.js	C:/My%20Web%20Sites/fakier/www.wowmomosfranchise.com/assets/validation/jquery.validate.js	(from https://www.wowmomosfranchise.com/)
23:01:54	11227/11227	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2017%20Jul%202021%2018:15:16%20GMT	https://www.wowmomosfranchise.com/assets/validation/validate.js	C:/My%20Web%20Sites/fakier/www.wowmomosfranchise.com/assets/validation/validate.js	(from https://www.wowmomosfranchise.com/)
23:01:55	315/315	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2028%20Nov%202022%2017:31:56%20GMT	https://www.wowmomosfranchise.com/gtag/gtm.js	C:/My%20Web%20Sites/fakier/www.wowmomosfranchise.com/gtag/gtm.js	(from https://www.wowmomosfranchise.com/gtag/js?id=UA-199870808-1)
23:01:57	50230/50230	---MC-	200	added ('OK')	text/javascript	date:Tue,%2027%20Sep%202022%2022:01:05%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/fakier/www.google-analytics.com/analytics.js	(from https://www.wowmomosfranchise.com/gtag/js?id=UA-199870808-1)
23:01:57	315/315	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2028%20Nov%202022%2017:31:58%20GMT	https://www.wowmomosfranchise.com/gtag/ec.js	C:/My%20Web%20Sites/fakier/www.wowmomosfranchise.com/gtag/ec.js	(from https://www.wowmomosfranchise.com/gtag/js?id=UA-199870808-1)
23:01:58	315/315	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2028%20Nov%202022%2017:31:59%20GMT	https://www.wowmomosfranchise.com/analytics.js	C:/My%20Web%20Sites/fakier/www.wowmomosfranchise.com/analytics.js	(from https://www.wowmomosfranchise.com/gtag/js?id=UA-199870808-1)
23:01:59	315/315	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2028%20Nov%202022%2017:32:00%20GMT	https://www.wowmomosfranchise.com/gtag/recaptcha.js	C:/My%20Web%20Sites/fakier/www.wowmomosfranchise.com/gtag/recaptcha.js	(from https://www.wowmomosfranchise.com/gtag/js?id=UA-199870808-1)
23:01:59	315/315	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2028%20Nov%202022%2017:32:00%20GMT	https://www.wowmomosfranchise.com/gtag/linkid.js	C:/My%20Web%20Sites/fakier/www.wowmomosfranchise.com/gtag/linkid.js	(from https://www.wowmomosfranchise.com/gtag/js?id=UA-199870808-1)
23:02:05	2310449/2310449	---MCZ	200	added ('OK')	image/jpeg	date:Fri,%2015%20Jul%202022%2017:07:36%20GMT	https://www.wowmomosfranchise.com/assets/front/images/slider-03.jpg	C:/My%20Web%20Sites/fakier/www.wowmomosfranchise.com/assets/front/images/slider-03.jpg	(from https://www.wowmomosfranchise.com/)
23:02:05	9932/9932	---M-Z	200	added ('OK')	image/jpeg	date:Sat,%2017%20Jul%202021%2018:14:40%20GMT	https://www.wowmomosfranchise.com/assets/front/images/bg-pics.jpg	C:/My%20Web%20Sites/fakier/www.wowmomosfranchise.com/assets/front/images/bg-pics.jpg	(from https://www.wowmomosfranchise.com/assets/front/css/style.css)
23:02:06	224987/224987	---MC-	200	added ('OK')	application/javascript	date:Mon,%2028%20Nov%202022%2017:32:05%20GMT	https://cct.google/taggy/agent.js	C:/My%20Web%20Sites/fakier/cct.google/taggy/agent.js	(from https://www.wowmomosfranchise.com/gtag/js?id=UA-199870808-1)
23:02:07	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2025%20Jan%202021%2019:34:56%20GMT	https://www.wowmomosfranchise.com/font-awesome/4.7.0/fonts/fontawesome-webfont.eot	C:/My%20Web%20Sites/fakier/www.wowmomosfranchise.com/font-awesome/4.7.0/fonts/fontawesome-webfont.eot	(from https://www.wowmomosfranchise.com/font-awesome/4.7.0/css/font-awesome.min.css)
